system:time_start;0;GPP
Sep 6;2022;616.889
Sep 14;2022;661.546
Sep 22;2022;677.610
Sep 30;2022;661.708
Oct 8;2022;792.555
Oct 16;2022;777.898
Oct 24;2022;780.845
Nov 1;2022;786.717
Nov 9;2022;832.239
Nov 17;2022;934.259
Nov 25;2022;678.900
Dec 3;2022;823.261
Dec 11;2022;914.590
Dec 19;2022;859.227
Dec 27;2022;425.372
Jan 1;2023;681.132
Jan 9;2023;768.788
Jan 17;2023;766.664
Jan 25;2023;745.029
Feb 2;2023;760.314
Feb 10;2023;560.100
Feb 18;2023;791.407
Feb 26;2023;764.099
Mar 6;2023;618.398
Mar 14;2023;885.401
Mar 22;2023;795.551
Mar 30;2023;753.542
Apr 7;2023;660.129
Apr 15;2023;696.319
Apr 23;2023;595.572
May 1;2023;660.085
May 9;2023;527.927
May 17;2023;555.668
May 25;2023;538.445
Jun 2;2023;606.444
Jun 10;2023;486.668
Jun 18;2023;528.226
Jun 26;2023;545.284
Jul 4;2023;526.892
Jul 12;2023;473.213
Jul 20;2023;586.162
Jul 28;2023;587.657
Aug 5;2023;624.727
Aug 13;2023;540.471
Aug 21;2023;448.284
Aug 29;2023;619.378
Sep 6;2023;756.226
Sep 14;2023;775.204
Sep 22;2023;694.840
Sep 30;2023;626.600
Oct 8;2023;661.872
Oct 16;2023;799.438
Oct 24;2023;716.193
Nov 1;2023;895.236
Nov 9;2023;723.569
Nov 17;2023;648.779
Nov 25;2023;780.238
Dec 3;2023;
Dec 11;2023;954.639
Dec 19;2023;895.204
Dec 27;2023;499.218
